MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
9,4444,-21.7842,25.0507,45.9143,1,0
9,4090,-20.727,24.0979,45.0111,1,0
9,4096,-20.5392,24.7879,45.1329,1,0
9,4448,-21.0698,25.4975,45.6951,1,0
9,4450,-20.399,25.5315,45.3889,1,0
10,4443,-21.9706,24.3543,45.8156,0,0
10,4443,-21.9706,24.3543,45.8156,3,0
10,4439,-22.4829,23.8247,46.0256,2,0
10,4438,-21.9516,23.6401,45.6412,1,0
10,4435,-22.6106,23.0245,45.9802,1,0
10,4786,-23.1216,23.6525,46.4412,1,0
10,4792,-22.4974,24.56,46.2152,1,0
10,4444,-21.7842,25.0507,45.9143,2,0
10,4445,-21.2441,24.5835,45.4633,1,0
10,4448,-21.0698,25.4975,45.6951,1,0
10,4449,-21.5785,25.7473,46.059,1,0
10,4797,-22.258,25.5064,46.3646,1,0
11,4444,-21.7842,25.0507,45.9143,0,0
11,4444,-21.7842,25.0507,45.9143,3,0
11,4443,-21.9706,24.3543,45.8156,2,0
11,4439,-22.4829,23.8247,46.0256,1,0
11,4438,-21.9516,23.6401,45.6412,1,0
11,4445,-21.2441,24.5835,45.4633,1,0
11,4792,-22.4974,24.56,46.2152,1,0
11,4448,-21.0698,25.4975,45.6951,2,0
11,4449,-21.5785,25.7473,46.059,1,0
11,4450,-20.399,25.5315,45.3889,1,0
11,4453,-21.0398,26.1531,45.9642,1,0
11,4455,-20.3879,26.2303,45.7212,1,0
11,4797,-22.258,25.5064,46.3646,2,0
11,4790,-23.0577,24.6908,46.6062,1,0
11,4795,-22.9185,25.5511,46.7465,1,0
11,4803,-22.2353,26.3395,46.6673,1,0
11,4804,-21.4676,26.4691,46.3616,1,0
12,4449,-21.5785,25.7473,46.059,0,0
12,4449,-21.5785,25.7473,46.059,3,0
12,4448,-21.0698,25.4975,45.6951,2,0
12,4445,-21.2441,24.5835,45.4633,1,0
12,4444,-21.7842,25.0507,45.9143,1,0
12,4450,-20.399,25.5315,45.3889,1,0
12,4453,-21.0398,26.1531,45.9642,1,0
12,4455,-20.3879,26.2303,45.7212,1,0
12,4797,-22.258,25.5064,46.3646,2,0
12,4790,-23.0577,24.6908,46.6062,1,0
12,4792,-22.4974,24.56,46.2152,1,0
12,4795,-22.9185,25.5511,46.7465,1,0
12,4803,-22.2353,26.3395,46.6673,1,0
12,4804,-21.4676,26.4691,46.3616,1,0
13,4735,-20.4113,11.4067,47.1106,0,0
13,4735,-20.4113,11.4067,47.1106,3,0
13,4734,-19.9705,11.7742,46.6851,2,0
13,4736,-20.6645,11.9382,46.9718,1,0
13,4729,-19.8135,11.0618,46.9823,1,0
13,4727,-19.1685,10.9676,46.7186,1,0
13,4737,-19.1893,11.6325,46.3542,1,0
13,4739,-20.7357,12.5989,46.7026,1,0
13,4742,-20.1011,12.5782,46.3515,1,0
13,5078,-21.2464,11.7239,47.4187,2,0
13,5073,-20.8796,10.7618,47.6865,1,0
13,5075,-21.6843,11.1577,47.8953,1,0
13,5079,-22.0251,11.8627,47.7679,1,0
13,5076,-20.1637,10.687,47.3813,1,0
13,5083,-22.1707,12.6866,47.5078,1,0
13,4741,-21.5356,12.8905,47.0458,1,0
13,4740,-21.0879,12.2995,47.0402,1,0
14,4736,-20.6645,11.9382,46.9718,0,0
14,4736,-20.6645,11.9382,46.9718,3,0
14,4735,-20.4113,11.4067,47.1106,2,0
14,4734,-19.9705,11.7742,46.6851,1,0
14,4729,-19.8135,11.0618,46.9823,1,0
14,5078,-21.2464,11.7239,47.4187,1,0
14,5076,-20.1637,10.687,47.3813,1,0
14,4740,-21.0879,12.2995,47.0402,2,0
14,4739,-20.7357,12.5989,46.7026,1,0
14,4741,-21.5356,12.8905,47.0458,1,0
15,4739,-20.7357,12.5989,46.7026,0,0
15,4739,-20.7357,12.5989,46.7026,3,0
15,4740,-21.0879,12.2995,47.0402,2,0
15,4741,-21.5356,12.8905,47.0458,1,0
15,4736,-20.6645,11.9382,46.9718,1,0
15,5078,-21.2464,11.7239,47.4187,1,0
15,4734,-19.9705,11.7742,46.6851,2,0
15,4735,-20.4113,11.4067,47.1106,1,0
15,4729,-19.8135,11.0618,46.9823,1,0
15,4727,-19.1685,10.9676,46.7186,1,0
15,4737,-19.1893,11.6325,46.3542,1,0
15,4742,-20.1011,12.5782,46.3515,1,0
15,4746,-21.0539,13.5382,46.4749,2,0
15,4747,-21.7766,13.7086,46.848,1,0
15,4398,-20.3194,13.3699,46.0909,1,0
15,4399,-20.5983,14.1084,45.9371,1,0
15,4749,-21.8675,14.4891,46.6074,1,0
15,4752,-21.3566,14.5951,46.2323,1,0
16,4746,-21.0539,13.5382,46.4749,0,0
16,4746,-21.0539,13.5382,46.4749,3,0
16,4739,-20.7357,12.5989,46.7026,2,0
16,4740,-21.0879,12.2995,47.0402,1,0
16,4741,-21.5356,12.8905,47.0458,1,0
16,4736,-20.6645,11.9382,46.9718,1,0
16,4734,-19.9705,11.7742,46.6851,1,0
16,4742,-20.1011,12.5782,46.3515,1,0
16,4747,-21.7766,13.7086,46.848,2,0
16,4750,-22.3351,14.2627,46.9814,1,0
16,4749,-21.8675,14.4891,46.6074,1,0
16,5090,-22.3191,13.5601,47.241,1,0
16,4398,-20.3194,13.3699,46.0909,2,0
16,4397,-19.7984,13.6363,45.6691,1,0
16,4399,-20.5983,14.1084,45.9371,1,0
16,4394,-19.7051,12.9447,45.933,1,0
16,4752,-21.3566,14.5951,46.2323,2,0
16,4405,-20.8593,14.8551,45.7966,1,0
16,4408,-21.441,15.3474,45.9984,1,0
16,4754,-22.1507,15.5394,46.423,1,0
17,4752,-21.3566,14.5951,46.2323,0,0
17,4752,-21.3566,14.5951,46.2323,3,0
17,4749,-21.8675,14.4891,46.6074,2,0
17,4750,-22.3351,14.2627,46.9814,1,0
17,4751,-22.6154,15.0199,46.894,1,0
17,4747,-21.7766,13.7086,46.848,1,0
17,4746,-21.0539,13.5382,46.4749,1,0
17,4754,-22.1507,15.5394,46.423,1,0
17,4399,-20.5983,14.1084,45.9371,2,0
17,4398,-20.3194,13.3699,46.0909,1,0
17,4397,-19.7984,13.6363,45.6691,1,0
17,4404,-20.1094,14.6668,45.4085,1,0
17,4405,-20.8593,14.8551,45.7966,1,0
17,4408,-21.441,15.3474,45.9984,2,0
17,4407,-20.9179,15.6199,45.5552,1,0
17,4409,-21.6712,16.0767,45.9078,1,0
18,4804,-21.4676,26.4691,46.3616,0,0
18,4804,-21.4676,26.4691,46.3616,3,0
18,4449,-21.5785,25.7473,46.059,2,0
18,4448,-21.0698,25.4975,45.6951,1,0
18,4444,-21.7842,25.0507,45.9143,1,0
18,4453,-21.0398,26.1531,45.9642,1,0
18,4797,-22.258,25.5064,46.3646,1,0
18,4803,-22.2353,26.3395,46.6673,2,0
18,4802,-22.659,26.7779,47.0634,1,0
18,4801,-22.9204,26.2111,46.9589,1,0
18,4795,-22.9185,25.5511,46.7465,1,0
18,4807,-22.1556,27.0284,46.9363,1,0
18,4809,-21.5002,27.1096,46.7142,1,0
18,4454,-20.6877,26.7154,46.1199,2,0
18,4455,-20.3879,26.2303,45.7212,1,0
18,4460,-19.9438,26.9686,45.9865,1,0
18,4810,-20.6272,27.3565,46.523,1,0
19,4809,-21.5002,27.1096,46.7142,0,0
19,4809,-21.5002,27.1096,46.7142,3,0
19,4808,-21.8221,27.4496,47.0325,2,0
19,4807,-22.1556,27.0284,46.9363,1,0
19,4816,-21.207,27.9054,47.1155,1,0
19,5157,-22.4647,27.5066,47.3763,1,0
19,4803,-22.2353,26.3395,46.6673,2,0
19,4802,-22.659,26.7779,47.0634,1,0
19,4801,-22.9204,26.2111,46.9589,1,0
19,4795,-22.9185,25.5511,46.7465,1,0
19,4797,-22.258,25.5064,46.3646,1,0
19,4804,-21.4676,26.4691,46.3616,1,0
19,4810,-20.6272,27.3565,46.523,2,0
19,4454,-20.6877,26.7154,46.1199,1,0
19,4460,-19.9438,26.9686,45.9865,1,0
19,4811,-19.567,27.6362,46.3426,1,0
19,4817,-20.1146,28.0808,46.8791,1,0
20,4816,-21.207,27.9054,47.1155,0,0
20,4816,-21.207,27.9054,47.1155,3,0
20,4808,-21.8221,27.4496,47.0325,2,0
20,4807,-22.1556,27.0284,46.9363,1,0
20,4809,-21.5002,27.1096,46.7142,1,0
20,5157,-22.4647,27.5066,47.3763,1,0
20,4810,-20.6272,27.3565,46.523,2,0
20,4454,-20.6877,26.7154,46.1199,1,0
